Sector,Dimension,Indicator (all at district level),Possible Data Source,Confirmed Data Source,Ministry / Agency,District-Level Available? (Y/N/Unknown),Verified By,Date Verified,Notes
Health,Supply,Doctor-to-population ratio,HMIS,,Ministry of Health,,,,
Health,Supply,Nurse-to-population ratio,HMIS,,Ministry of Health,,,,
Health,Supply,Facilities with functional EmONC,NHSP 2022-2026,,,,,,
Health,Access,Skilled birth attendance rate,HMIS,,Ministry of Health / ZamStats,,,,
Health,Access,Distance to nearest health facility,Facility GIS mapping,,Ministry of Health,,,,
Health,Access,% of population registered in NHIMA,NHIMA,,,,,,
Education,Supply,"Pupil-teacher ratio, primary",EMIS,,Ministry of Education,,,,
Education,Supply,"Pupil-teacher ratio, secondary",EMIS,,Ministry of Education,,,,
Education,Supply,Electrification of schools,,,,,,,
Education,Supply,Schools with internet,2025 annual school census,,Ministry of Education,,,,
Education,Access,Distance/travel time to nearest school (primary & secondary),Facility GIS mapping,,Ministry of Education,,,,
Education,Access,Mean years of schooling,Census / LCMS,,ZamStats,,,,
Agriculture,Supply,Extension worker-to-farmer ratio,NAESS 2016-2020 (actual); MoA statements (1:400),,Ministry of Agriculture,,,,
Agriculture,Supply,Maize production (in MT) per capita,,,Ministry of Agriculture,,,,
Agriculture,Supply,Number of tonnes of FRA storage (per capita?),,,,,,,
Agriculture,Access,% of population receiving FISP,,,,,,,
Agriculture,Access,% farmers reached by extension services per season,Ministry of Agriculture admin records,,Ministry of Agriculture,,,,
Infastructure,Supply,Water point / borehole density per population,CCA existing dataset (water index),,Ministry of Water Development / DWASHE,,,,
Infastructure,Supply,Grid connection capacity (kVA/MVA) relative to population,CCA existing dataset (electricity index),,Ministry of Energy / ZESCO,,,,
Infastructure,Supply,Network tower / mobile coverage footprint,,,,,,,
Infastructure,Access,% households with access to safe/improved water source,LCMS / Census,,ZamStats / NWASCO,,,,
Infastructure,Access,Distance/time to nearest water point,Facility GIS mapping / DWASHE,,Ministry of Water Development,,,,
Infastructure,Access,% households electrified / new connections,ZESCO administrative records,,Ministry of Energy / ZESCO,,,,
Environment,N/A,Population Growth Rate,,,,,,,Pressure indicator — invert before min-max normalisation (higher raw value = lower capacity). See ADR-0009.
Environment,N/A,Forest cover (greenery index),,,,,,,Condition indicator — orient as-is (higher = higher capacity). See ADR-0009.
Environment,N/A,Cattlehead per capita,Livestock census,,,,,,Pressure indicator — invert before min-max normalisation (higher raw value = lower capacity). See ADR-0009.
Environment,N/A,charcoal consumption domestic ,,,,,,,Pressure indicator — invert before min-max normalisation (higher raw value = lower capacity). See ADR-0009.
Environment,N/A,Ecological Diversity? ,,,,,,,Condition indicator — orient as-is (higher = higher capacity). See ADR-0009.
